Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
Feather,Modal Soul,"Nujabes, Cise Starr & Akin from CYNE",2005-11-11,63,"downtempo,instrumental hip hop,japanese chillhop,japanese old school hip hop,jazz rap",0.565,0.749,10,0.0769,0.655,0.432,0.106,180.598,91,Peek hip hop artistry
Victim,Trash Island,"Bladee, Thaiboy Digital, Ecco2k",2019-09-12,46,"cloud rap,drain,glitchcore,underground hip hop,hyperpop",0.632,0.344,6,0.0958,0.9,0.919,0.106,169.113,92,One of the first Drain Gang songs I ever liked
Unclean mind,Shade,Grouper,2021-10-22,28,"ambient,ambient pop,art pop,dream pop,drone,electra,experimental ambient,experimental pop,modern dream pop,spectra",0.606,0.309,4,0.03,7,0.906,0.896,0.151,93.663,93,"'Sitting in the dark, alone' kinda music"
Tant de belles choses...,Tant de belles choses,Françoise Hardy,2004-11-14,40,"chanson,ye ye",0.437,0.551,4,0.0294,0.538,0.00028,0.029,129.939,94,She is the queen of French music,Top 5 Bowie Track
Soul Love,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972-06-06,55,"art rock,classic rock,glam rock,permanent wave,rock",0.573,0.404,2,0.0626,0.0579,1.52e-06,0.217,72.906,95
Don't Cry,Donuts,J Dilla,2006-02-07,54,"alternative hip hop,detroit hip hop,hip hop,instrumental hip hop",0.23,0.772,1,0.342,0.054,0.000138,0.644,173.377,96,Dilla produced this track for his mother while he was in the hospital with cancer to consol her
Playground Love,The Virgin Suicides (Original Motion Picture Score),"Air,Gordon Tracks",2000-02-25,66,"ambient pop,downtempo,electronica,indietronica,trip hop",0.33,0.423,7,0.0279,0.265,0.731,0.347,143.086,97,I've actually never wathced this movie but I've heard good things
Schizophrenia,Sister,Sonic Youth,1987-04-07,52,"alternative rock,noise pop,noise rock,rock,shoegaze",0.356,0.696,2,0.0366,0.19,0.867,0.104,134.66,98,I was obsessed with Sonic Youth until I saw a t-shirt of this album's cover art in a Hot Topic
Love My Way,Forever Now,The Psychedelic Furs,1982,63,"alternative rock,new romantic,new wave,new wave pop,post-punk",0.637,0.85,0,0.0351,0.00487,0.00018,0.152,126.106,99,Everytime I listen to this song I can hear my mom singing along to it too
Waiting Room,"Lost Ark Studio Compilation, Vol. 8",Phoebe Bridgers,2016-08-12,76,"indie pop,la indie,pov: indie",0.531,0.289,2,0.0286,0.339,0.000358,0.134,129.753,100,100 DAYS!! I knew this had to be the 100th song because I've only ever thought of you when listening to it
Me Amas y Me Dejas,La Magia de Sandro,Sandro,1968,37,"cancion melodica,pop romantico",0.401,0.415,2,0.0623,0.622,0.0,0.0617,71.53,101
Till There Was You,With The Beatles,The Beatles,1963-11-22,63,"british invasion,classic rock,merseybeat,psychedelic rock,rock",0.727,0.338,5,0.0454,0.79,0.0,0.105,122.421,102
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-10-28,90,"dance pop,pop,urban contemporary",0.336,0.627,7,0.0384,0.164,0.0,0.0708,150.273,103
Off You,Title Tk,The Breeders,2002-05-20,43,alternative rock,0.464,0.102,10,0.0319,0.965,0.0277,0.108,81.165,104
Cities In Dust,Tinderbox,Siouxsie and the Banshees,1986-04-21,58,"alternative rock,dream pop,new romantic,new wave,post-punk,punk,uk post-punk",0.561,0.974,6,0.113,0.0572,0.0,0.244,120.297,105
